"ID";"NumberOfParkingMeter";"global_id";"AdmArea";"District";"StreetName";"Location";"longitude";"latitude";"ParkingZoneNumber";"geoData";
"1607";"Паркомат № 2195";"282084382";"Центральный административный округ";"район Хамовники";"Чертольский переулок";"Чертольский переулок, дом 4";"37.598283";"55.744289";"2101";"{type=Point, coordinates=[37.5982830305611, 55.7442886315498]}";
"1608";"Паркомат № 2196";"282084383";"Центральный административный округ";"район Хамовники";"Чистый переулок";"Чистый переулок, напротив дома 3";"37.593293747885";"55.742323828234";"2101";"{type=Point, coordinates=[37.5932937785764, 55.7423234595416]}";
"1609";"Паркомат № 2198";"282084385";"Центральный административный округ";"Тверской район";"Пушкинская площадь";"Пушкинская площадь";"37.6062977";"55.76614910";"0304";"{type=Point, coordinates=[37.6062977305725, 55.7661487316759]}";
"1610";"Паркомат № 2199";"282084386";"Центральный административный округ";"Мещанский район";"Неглинная улица";"Неглинная улица, дом 16";"37.620484";"55.765437";"0305";"{type=Point, coordinates=[37.6204840305156, 55.7654366316615]}";
"1611";"Паркомат № 2200";"282084387";"Центральный административный округ";"Тверской район";"Мамоновский переулок";"Мамоновский переулок, дом 6";"37.598774160713";"55.7662545896";"2104";"{type=Point, coordinates=[37.5987741916021, 55.7662542216819]}";
"1612";"Паркомат № 2201";"282084389";"Центральный административный округ";"Тверской район";"Благовещенский переулок";"Благовещенский переулок, дом 3, строение 1";"37.598234186508";"55.767671680481";"2104";"{type=Point, coordinates=[37.5982342176069, 55.7676713116908]}";
"1613";"Паркомат № 2202";"282084390";"Центральный административный округ";"Тверской район";"Старопименовский переулок";"Старопименовский переулок, дом 5/9";"37.6022664";"55.7696814";"2104";"{type=Point, coordinates=[37.6022664305951, 55.7696810317001]}";
"1614";"Паркомат № 2204";"282084391";"Центральный административный округ";"Тверской район";"Дегтярный переулок";"Дегтярный переулок, дом 5, строение 1";"37.601728095107";"55.767989610029";"2104";"{type=Point, coordinates=[37.6017281255939, 55.7679892416903]}";
"1615";"Паркомат № 2210";"282084393";"Западный административный округ";"район Дорогомилово";"набережная Тараса Шевченко";"набережная Тараса Шевченко, дом 2/1, строение 1";"37.565992";"55.752621";"0311";"{type=Point, coordinates=[37.5659920307019, 55.752620631623]}";
"1616";"Паркомат № 2211";"282084394";"Центральный административный округ";"Тверской район";"Никитский переулок";"Никитский переулок, дом 4А";"37.610697";"55.757263";"0304";"{type=Point, coordinates=[37.6106970305383, 55.7572626316192]}";
"1617";"Паркомат № 2212";"282084395";"Центральный административный округ";"Тверской район";"улица Петровские Линии";"улица Петровские Линии, дом 2/18";"37.617562";"55.764002";"0304";"{type=Point, coordinates=[37.6175620305244, 55.7640016316549]}";
"1618";"Паркомат № 2214";"282084397";"Центральный административный округ";"Пресненский район";"Богословский переулок";"Богословский переулок, дом 5";"37.599230509262";"55.762583653442";"2103";"{type=Point, coordinates=[37.5992305395931, 55.7625832846594]}";
